title,location,link
"DIY Wall Clocks 3D Mirror Stickers Large Wall Clock -Black₦ 3,55644%",Unknown,/generic-diy-wall-clocks-3d-mirror-stickers-large-wall-clock-black-228186095.html
"Sun King Pico Plus 50 Lumens Solar Portable Emergency Lamp - Yellow₦ 10,2604%",Unknown,/sun-king-pico-plus-50-lumens-solar-portable-emergency-lamp-yellow-14091549.html
"JIYUE Flash Drive 3.0 128GB Metal OTG Micro USB Type-C₦ 6,47440%",Unknown,/jiyue-flash-drive-3.0-128gb-metal-otg-micro-usb-type-c-337494583.html
"FYLO M1 BT+2.4G Bluetooth Wireless Mouse With RGB Lights₦ 4,48048%",Unknown,/fylo-m1-bt2.4g-bluetooth-wireless-mouse-with-rgb-lights-398117930.html
"Infinix Smart 9HD 6.7"" 4GB RAM/64GB ROM Black₦ 116,95414%",Unknown,/infinix-smart-9hd-6.7-4gb-ram64gb-rom-black-384822849.html
"STY 15.6"" Men Laptop Bags Backpack Bag Red Dot Rucksack - Grey₦ 8,69041%",Unknown,/sty-15.6-men-laptop-bags-backpack-bag-red-dot-rucksack-grey-351610928.html
"Nokia 105_African Edition,1.77"",4MB/4MB,800MAh, Dual Sim- Charcoal₦ 12,242",Unknown,/nokia-105african-edition1.774mb4mb800mah-dual-sim-charcoal-132260136.html
"XIAOMI REDMI A5 -  6.88   4GB RAM/128GB ROM  -- BLACK₦ 113,789",Unknown,/xiaomi-redmi-a5-6.88-4gb-ram128gb-rom-black-408237971.html
"SILVER CREST 2L Industrial 9525 Motor Dry Grinder Blender With 1 Jar₦ 23,651",Unknown,/silver-crest-2l-industrial-9525-motor-dry-grinder-blender-with-1-jar-382369846.html
"Hikers 32'' Frameless Android Smart HD LED TV - Black + 1 Year Warranty₦ 146,784",Unknown,/hikers-32-frameless-android-smart-hd-led-tv-black-1-year-warranty-385172656.html
"XIAOMI Router 4C 300Mbps High-speed₦ 21,098",Unknown,/xiaomi-router-4c-300mbps-high-speed-407538598.html
